,Food Code,Name,Serving (g),DR1IKCAL,DR1ICARB,DR1IPROT,DR1ITFAT,DR1ISUGR,DR1IFIBE,DR1ISFAT,DR1ICHOL,DR1IIRON,DR1ISODI,DR1ICAFF
33,73,carrots/pumpkin/squash/sweet potato/,72,52.22459336,9.374896908,0.821690458,1.607073215,4.038175888,2.102880912,0.319307671,0.648430308,0.350621656,110.4385221,0
34,74,tomato/salsa/,123,71.24280977,17.15903201,1.293079991,0.532318646,12.79464967,1.060206313,0.069295036,0.099081709,0.484504895,605.3964959,0
35,75,raw vegetables,120,56.39215003,8.873633457,2.116901855,1.980832347,3.520126087,2.366040973,0.427173566,1.906538978,0.787781503,264.0472401,0
36,77,puerto rican style food,250,452.4949825,36.50509369,19.37737001,26.69887365,13.89208586,4.531117576,6.563318203,68.1976598,2.036325492,926.4847372,0
37,78,fruit and vegetable smoothie,233,139.7212968,29.52406926,5.048158404,1.092284329,20.33324822,2.528354968,0.498986567,2.79298708,1.190270037,52.58360874,0
38,81,butter,14.2,90.79542134,0.214036331,0.093016518,10.12346737,0.035910353,0.001823862,4.916128084,19.63956096,0.004459556,88.60677365,0
39,82,oil,14,124.0021399,0,0,13.99682074,0,0,2.158597751,0,0.072878403,0.032921811,0
40,83,salad dressing,14,58.34693736,1.036212463,0.144418895,5.952908771,0.774366462,0.013866606,0.921698477,3.071122249,0.044216524,114.4895921,0
41,91,sugar/desserts,200,719.0260896,161.7445372,2.772776705,10.24791805,134.9277555,1.362939133,5.669044987,4.514678917,0.972845653,139.1249273,5.208694948
42,92,coffee/soda drink/iced tea,240,56.64032766,13.72056061,0.324127863,0.246926718,12.0619562,0.0245211,0.06713221,0.341804552,0.129684654,17.52652885,47.58792579
43,95,shakes/drink mixes,166,208.9310905,20.01684547,24.83107228,3.319496395,12.58431348,1.42877722,0.358386301,4.510328766,4.556857038,302.4022809,7.308189633
